orig_symbol	logFC	logCPM	F	PValue	FDR
Glipr2	-14.318371323384895	9.398324847287006	25100.7582144237	0	0
Gm15417	-14.318174270370974	9.398516697780831	25110.737875047325	0	0
Zfp92	-14.318163458985756	9.399242643276825	25149.778775812665	0	0
Fgf18	-14.317932838734274	9.398071736504294	25088.37407686848	0	0
Gm44812	-14.317926320691347	9.398953089777265	25134.09158447474	0	0
Umps	-14.317757115506849	9.399368929101222	25156.625754615674	0	0
Gm36899	-14.317679253922371	9.39769369009876	25066.281955715913	0	0
Pkhd1l1	-14.317652855943443	9.397601367258506	25057.662429898952	0	0
Zfp991	-14.317579068266115	9.398198432680328	25092.50079635575	0	0
Cd82	-14.317474485472395	9.399746352464286	25175.8625178265	0	0
Scel	-14.317390171903579	9.39815619932222	25089.549645639552	0	0
Pelo	-14.317184815054363	9.397463111921804	25050.289919308576	0	0
Galm	-14.31697255987798	9.398819801745343	25124.48444308732	0	0
Zfp580	-14.316932725386318	9.39871911163505	25118.736677377252	0	0
Gm45716	-14.316920181829794	9.398910979166997	25130.4936958165	0	0
Ifit1	-14.316893249488286	9.39887650828089	25128.650410152	0	0
Gm15535	-14.316822957271148	9.396909825668496	25019.49895250075	0	0
Pcdhga6	-14.316747715517788	9.398691722291536	25118.08306320706	0	0
Slc5a4b	-14.31666144711826	9.400186622351557	25198.916041895845	0	0
Erf	-14.316626177577152	9.399748088213325	25172.120780858837	0	0
Gm20686	-14.316625085660302	9.40037628630364	25208.085424677603	0	0
Bag3	-14.316574906331102	9.399628391289955	25168.085142281103	0	0
Gm13031	-14.316527258747161	9.399124495285637	25140.727372629975	0	0
Rspo1	-14.316473674230869	9.398502725393975	25106.868068164673	0	0
Gm14418	-14.316389239264259	9.39779561060874	25068.228256690316	0	0
P3h4	-14.31637108230261	9.398596771343943	25110.77176742921	0	0
Pcdhb7	-14.316325287690551	9.399360849730032	25152.03926420589	0	0
Trim12a	-14.31619890243379	9.399373765813559	25151.980101379173	0	0
Gm2449	-14.316070411769013	9.399566337966109	25165.693966752664	0	0
Nudt16	-14.3160100969276	9.398340920857796	25096.752257042488	0	0
Ifit1bl2	-14.315909932448363	9.397852085324	25071.248473231622	0	0
Plekha4	-14.315721877797303	9.397020760872726	25022.049060860896	0	0
Slc15a3	-14.315691415473353	9.39910814049544	25137.32282224756	0	0
Hes5	-14.31552713928237	9.399294307499183	25147.329866165226	0	0
AV099323	-14.315407937224998	9.398736846539105	25118.44482254626	0	0
Chst7	-14.315401016867494	9.400089465434268	25189.178828285098	0	0
Hcrtr1	-14.315302100905082	9.39988746794368	25178.722714447733	0	0
Cd274	-14.315209747655606	9.397319407300227	25040.208317138316	0	0
Rhbdf1	-14.314927120585503	9.399157766416431	25138.94812887027	0	0
Cyp2s1	-14.314920160356827	9.400243222728266	25198.20756319473	0	0
Hebp2	-14.314866679412257	9.399532897970365	25159.68016826172	0	0
Gm44992	-14.314779770283714	9.396375232417011	24985.41050675589	0	0
Gm9821	-14.314716858879304	9.3990991207046	25136.403667883405	0	0
Hsbp1l1	-14.314696132638131	9.398560745241989	25106.57825971205	0	0
Tmc6	-14.314686799948571	9.400708022810544	25220.618961603217	0	0
Nbeal2	-14.314662237803867	9.399276770247319	25143.980974932172	0	0
Dhrs4	-14.314536854710877	9.397458858614375	25043.849689480816	0	0
Gm9833	-14.314465135571426	9.40268291805855	25323.385129578466	0	0
Gm28151	-14.31442834420119	9.399494075604666	25156.90331288566	0	0
Pqlc3	-14.314389000671133	9.398570743447209	25105.853895141387	0	0
Vgll3	-14.31433650709727	9.3983112405499	25092.433610270822	0	0
Gm35722	-14.314103365224712	9.39790230007964	25069.024425603082	0	0
Neurod6	-14.313987328470576	9.398829582608911	25119.953317036976	0	0
Ccdc71l	-14.313932096182926	9.39744812290562	25042.47570060326	0	0
Lrrc56	-14.313817437096729	9.397876733048774	25067.289658951326	0	0
Gprin2	-14.313811120574922	9.398764698865136	25116.364721844366	0	0
Nppa	-14.313804962915125	9.397967529806117	25072.838756158933	0	0
Sac3d1	-14.313796880831058	9.398067050855593	25077.310681930114	0	0
Gm13481	-14.313733661894585	9.399557134526047	25160.221208494615	0	0
Gpr21	-14.31371461945045	9.398254092535659	25086.356042031322	0	0
Txlnb	-14.313587002814618	9.39832775260075	25090.102764233274	0	0
Cib1	-14.313537621256469	9.398231842286588	25086.546515546997	0	0
Gm47644	-14.313517611018984	9.397134533521694	25024.475001496725	0	0
Polr2d	-14.31341124991868	9.400539799338192	25209.46542851374	0	0
Gm14092	-14.313373979243368	9.399225870935526	25137.579385779816	0	0
Gm29626	-14.313315189110352	9.399600334234432	25160.23326469058	0	0
Dusp28	-14.313284593874524	9.39922750428634	25140.2236038071	0	0
9930012K11Rik	-14.313201935395542	9.399948397781515	25179.459561528256	0	0
Ctxn1	-14.313189449933866	9.398533692151046	25099.81389546311	0	0
Rep15	-14.313095180236267	9.399666146860627	25160.40249391256	0	0
